5007,Physics,Physical Sciences
5098,Multi-Disciplinary Or General Science,Physical Sciences
5102,"Nuclear, Industrial Radiology, And Biological Technologies",Physical Sciences
5200,Psychology,Psychology & Social Work
5201,Educational Psychology,Psychology & Social Work
5202,Clinical Psychology,Psychology & Social Work
5203,Counseling Psychology,Psychology & Social Work
5205,Industrial And Organizational Psychology,Psychology & Social Work
5206,Social Psychology,Psychology & Social Work
5299,Miscellaneous Psychology,Psychology & Social Work
5403,Human Services And Community Organization,Psychology & Social Work
5404,Social Work,Psychology & Social Work
4007,Interdisciplinary Social Sciences,Social Science
5500,General Social Sciences,Social Science
5501,Economics,Social Science
5503,Criminology,Social Science
5504,Geography,Social Science
5505,International Relations,Social Science
5506,Political Science And Government,Social Science
5507,Sociology,Social Science
5599,Miscellaneous Social Sciences,Social Science
9999,Informatics,Informatics
